#{"t_start": 1701385035.5546296, "env_id": "None"}
r,l,t
885.7625,250,45.90311
665.53723,250,45.90311
753.1466,250,45.90311
857.096,250,45.90311
878.32837,250,91.235035
841.177,250,91.235035
849.325,250,91.235035
833.0532,250,91.235035
466.6667,250,115.751224
838.35626,250,115.751224
874.82,250,115.751224
876.898,250,115.751224
538.43506,250,139.57195
885.50696,250,139.57195
116.560844,250,139.57195
842.23584,250,139.57195
884.79083,250,163.942235
618.9784,250,163.943232
830.3152,250,163.943232
888.54956,250,163.943232
752.63043,250,188.334218
823.07526,250,188.334218
855.71985,250,188.334218
642.57367,250,188.334218
622.0425,250,212.871924
849.6404,250,212.871924
538.8045,250,212.871924
553.9685,250,212.871924
843.8205,250,237.906113
892.56335,250,237.906113
877.4413,250,237.906113
649.2164,250,237.906113
688.53015,250,369.645336
872.78754,250,369.645336
608.60803,250,369.645336
849.493,250,369.645336
579.99774,250,393.401761
679.4125,250,393.401761
624.3822,250,393.401761
508.4143,250,393.401761
902.9981,243,417.157195
879.6593,250,417.927134
562.20514,250,417.927134
879.8647,250,417.927134
796.5518,250,442.255843
601.86383,250,442.946994
885.9639,250,442.946994
886.53015,250,442.946994
928.7997,178,458.977972
869.59503,250,464.815352
887.4607,250,465.489547
394.95065,250,465.489547
853.7337,250,481.477809
516.3917,250,487.311209
879.9193,250,487.967452
896.35004,250,487.967452
826.0563,250,503.824035
835.8489,250,509.655426
818.0302,250,510.32264
874.452,250,510.32264
627.5528,250,526.510036
286.79352,250,532.427197
856.80884,250,533.11735
528.2049,250,533.11735
848.8036,250,631.218816
874.26404,250,636.919569
878.4185,250,637.589776
873.78265,250,637.589776
889.36163,250,653.499744
905.29895,237,658.869381
851.55475,250,659.445837
865.75323,250,660.113052
773.45557,250,676.345121
906.80023,233,680.784244
843.70874,250,681.828449
482.0906,250,683.068131
317.8281,250,699.472945
905.19763,237,703.610874
857.92834,250,703.826298
797.52435,250,705.92468
911.3981,222,719.978969
612.27844,250,727.037076
889.16693,250,727.262473
594.0271,250,729.557337
824.9979,250,743.995692
918.6006,204,746.875981
860.62756,250,751.130603
863.333,250,753.770909
734.4141,250,769.149528
896.1063,250,772.151441
642.37067,250,776.149254
214.61626,227,776.446458
873.3842,250,792.190151
911.1003,223,792.479382
884.02313,250,798.989445
738.2358,250,799.293631
905.5983,236,814.313433
885.9641,250,902.459893
914.0999,215,906.142064
829.93634,250,909.862107
754.9362,250,924.752258
883.0492,250,926.335025
857.89374,250,929.610268
838.46185,250,933.018152
867.42523,250,947.303939
881.48,250,948.948538
885.12915,250,954.851766
892.9073,250,961.122996
890.2583,250,988.43816
903.2987,242,992.982033
557.2333,250,997.558781
849.9997,250,1001.444382
912.49994,219,1014.68295
764.581,250,1016.783327
912.1998,220,1018.933572
891.9337,250,1025.335437
850.3551,250,1038.408367
907.49805,232,1038.820264
877.7772,250,1043.100318
889.9998,250,1065.721008
570.7676,250,1085.947625
828.78516,250,1086.550515
818.8196,250,1091.743322
878.33734,250,1100.213686
863.2352,250,1113.87608
635.9053,250,1114.298948
896.41296,250,1117.975617
915.80066,211,1120.600591
825.46454,250,1137.338803
501.22653,250,1137.749703
659.25885,250,1141.700129
613.3321,250,1144.518586
896.85315,250,1247.878913
881.8197,250,1248.269867
912.30115,220,1249.254232
912.90027,218,1251.669766
818.0873,250,1270.477479
690.99493,250,1270.884362
861.16473,250,1271.896652
707.338,250,1274.306211
910.3011,225,1291.883664
860.0009,250,1292.8042
860.131,250,1293.258994
868.3774,250,1296.74566
892.9313,250,1315.471436
875.97815,250,1316.483726
635.21246,250,1316.897618
833.79956,250,1320.537876
876.8978,250,1339.710195
757.5762,250,1340.707532
876.26984,250,1341.143364
900.7976,248,1344.675019
907.60016,231,1363.020196
864.05225,250,1365.965313
712.8821,250,1366.370229
679.99805,250,1369.968598
921.30035,197,1384.15363
886.48663,250,1386.348754
879.02026,250,1389.431505
878.8753,250,1392.73167
860.2863,250,1407.094611
892.8569,250,1409.391464
870.2593,250,1412.514122
909.29895,227,1413.756796
541.5075,250,1519.241129
896.7747,250,1521.390376
911.7001,221,1521.801277
822.80676,250,1525.52433
917.40137,207,1537.749665
919.1005,203,1543.585046
844.80365,250,1543.700737
861.0375,250,1544.134575
904.89984,238,1559.010674
915.79926,211,1562.936166
740.0011,250,1566.005958
889.32074,250,1566.114666
906.898,233,1579.746185
779.51874,250,1585.538682
822.55804,250,1588.734129
494.3782,250,1588.857798
917.59796,206,1599.304835
236.89381,153,1603.442759
834.52246,250,1609.338978
883.33246,250,1612.669069
875.6927,250,1623.233839
907.79956,231,1625.527709
869.4895,250,1633.698838
910.4993,224,1634.612393
686.62354,250,1648.335171
861.2679,250,1650.56223
620.6882,250,1657.799857
896.9604,250,1658.562816
873.41986,250,1670.944681
771.3228,250,1673.11587
853.57074,250,1680.540026
240.846,250,1681.294978
855.26917,250,1693.465409
890.47595,250,1695.663526
919.00037,203,1698.746274
646.2099,250,1787.83102
832.308,250,1800.03836
257.37808,250,1802.12278
683.28046,250,1805.170622
909.30084,227,1808.018998
915.60095,211,1818.951768
910.1981,225,1822.33472
426.81482,250,1827.653488
880.7677,250,1830.534776
917.8989,206,1837.468225
885.2077,250,1844.86942
905.9989,235,1848.776967
911.4005,222,1850.471432
921.30054,197,1855.081117
904.29816,240,1866.262188
921.19946,197,1866.38885
893.3328,250,1872.890598
870.58954,250,1877.611967
912.40106,219,1886.177057
907.3,232,1887.290085
883.97296,250,1895.352591
855.9298,250,1900.059
887.34357,250,1908.534315
886.8828,250,1909.617417
893.07666,250,1917.732694
879.7957,250,1922.365295
868.85535,250,1930.971269
806.90857,250,1932.074317
874.60297,250,1940.171643
896.296,250,1944.816216
918.199,205,1949.207467
915.70044,211,1950.829126
525.3851,250,1962.446048
900.9977,248,1966.919082
914.50037,214,1968.363218
896.58594,250,2058.034102
911.69824,221,2067.206558
838.4145,250,2074.372377
794.38885,250,2075.838468
890.1961,250,2080.685503
390.9102,250,2089.770281
910.29803,225,2095.922817
896.09076,250,2096.775563
896.5173,250,2103.034797
896.336,250,2112.150714
908.7978,228,2116.493099
798.73627,250,2119.273662
905.3007,237,2124.282261
769.5634,250,2134.165818
917.0004,208,2134.707369
889.2084,250,2141.102504
882.32996,250,2146.119077
916.1008,210,2153.21808
879.0951,250,2156.268933
865.77893,250,2163.249288
248.90231,250,2172.821453
880.2346,250,2186.463067
858.98956,250,2192.273522
506.8382,250,2209.814451
921.1986,197,2210.267231
905.70074,236,2222.361368
597.9171,250,2227.095696
780.1178,250,2234.740235
719.39624,250,2235.19801
919.6001,201,2246.587895
877.0466,250,2246.713559
909.9982,225,2257.072033
906.9002,233,2257.48393
707.81726,250,2357.509337
872.31573,250,2357.618046
915.4988,212,2363.56413
913.49866,217,2364.370971
915.00037,213,2376.318002
896.41345,250,2379.683993
873.5093,250,2385.790664
877.61163,250,2386.598502
867.9686,250,2398.527591
848.90436,250,2401.99332
918.69995,204,2404.727861
883.38684,250,2408.038017
906.3007,235,2419.623026
893.4204,250,2424.354371
896.4134,250,2427.113984
889.61664,250,2430.372263
904.599,239,2440.771359
915.79834,211,2442.947541
920.8986,198,2444.543357
921.699,196,2447.60217
891.66504,250,2462.984015
909.3991,227,2463.167524
915.4,212,2463.442787
658.2099,250,2470.046559
919.70123,201,2481.261541
876.5085,250,2485.901292
803.5097,250,2486.221436
890.29126,250,2492.701092
910.3,225,2501.760843
685.23303,250,2509.014693
892.95953,250,2509.340821
914.9,213,2512.707808
896.7631,250,2525.465661
896.56244,250,2532.679548
881.75146,250,2533.014649
890.19525,250,2536.484363
888.84674,250,2636.964815
386.48697,250,2643.838429
409.22598,250,2644.138626
799.08136,250,2647.413222
886.8414,250,2659.606606
920.19836,200,2662.206645
674.6034,250,2666.431345
355.78305,250,2670.065624
926.2988,185,2676.289984
886.20746,250,2685.210639
794.73694,250,2689.638788
892.90735,250,2693.337886
901.8988,246,2699.526322
479.86206,250,2708.787813
869.3464,250,2713.272459
913.3999,217,2713.863886
852.55414,250,2723.1871
887.011,250,2733.114533
672.3554,250,2738.020408
646.5255,250,2738.636758
829.76495,250,2748.128075
620.00024,250,2756.952996
853.3327,250,2761.250493
556.2473,250,2761.814983
893.5881,250,2770.676216
729.95966,250,2779.586372
874.16956,250,2783.838989
883.55176,250,2784.42542
852.82825,250,2793.245811
917.39825,207,2798.226484
896.68835,250,2806.342768
835.0154,250,2806.900275
670.6416,250,2815.776523
871.7292,250,2904.733192
910.5998,224,2910.377093
