#{"t_start": 1701378723.8802924, "env_id": "None"}
r,l,t
885.7625,250,67.012566
665.53723,250,67.012566
753.1466,250,67.012566
857.096,250,67.012566
878.32837,250,123.417269
841.177,250,123.417269
849.325,250,123.417269
833.0532,250,123.417269
466.6667,250,150.304573
838.35626,250,150.304573
874.82,250,150.304573
876.898,250,150.304573
538.43506,250,178.320558
885.50696,250,178.320558
116.560844,250,178.320558
842.23584,250,178.320558
884.79083,250,206.733685
618.9784,250,206.733685
830.3152,250,206.733685
888.54956,250,206.733685
752.63043,250,237.248837
823.07526,250,237.248837
855.71985,250,237.248837
642.57367,250,237.248837
622.0425,250,270.510266
849.6404,250,270.510266
538.8045,250,270.511263
553.9685,250,270.511263
843.8205,250,299.01215
892.56335,250,299.01215
877.4413,250,299.01215
649.2164,250,299.01215
688.53015,250,462.499476
872.78754,250,462.499476
608.60803,250,462.499476
849.493,250,462.499476
579.99774,250,496.004669
679.4125,250,496.004669
624.3822,250,496.004669
508.4143,250,496.004669
902.9981,243,527.372671
879.6593,250,528.266046
562.20514,250,528.266046
879.8647,250,528.266564
796.5518,250,558.926526
601.86383,250,560.196485
885.9639,250,560.196485
886.53015,250,560.196485
928.7997,178,587.334392
869.59503,250,595.544384
887.4607,250,596.545912
394.95065,250,596.545912
853.7337,250,618.158322
516.3917,250,625.90582
879.9193,250,626.814273
896.35004,250,626.814273
826.0563,250,652.032265
835.8489,250,662.482781
818.0302,250,663.559384
874.452,250,663.559384
627.5528,250,685.619135
286.79352,250,692.579481
856.80884,250,693.431183
528.2049,250,693.431183
848.8036,250,816.32071
874.26404,250,823.81677
878.4185,250,824.738729
873.78265,250,824.738729
889.36163,250,847.242994
905.29895,237,853.423517
851.55475,250,854.235579
865.75323,250,855.117562
773.45557,250,878.34553
906.80023,233,883.663448
843.70874,250,884.885029
482.0906,250,886.339555
317.8281,250,905.472459
905.19763,237,910.715853
857.92834,250,910.95222
797.52435,250,913.528586
911.3981,222,930.724423
612.27844,250,939.267289
889.16693,250,939.528396
594.0271,250,942.392385
824.9979,250,959.956351
918.6006,204,963.395285
860.62756,250,968.572366
863.333,250,972.24034
734.4141,250,991.73417
896.1063,250,995.761146
642.37067,250,1000.730221
214.61626,227,1001.052877
873.3842,250,1022.349206
911.1003,223,1022.740236
884.02313,250,1031.330941
738.2358,250,1031.764132
905.5983,236,1051.177088
885.9641,250,1170.052789
914.0999,215,1176.1398
829.93634,250,1181.488738
754.9362,250,1200.748865
883.0492,250,1202.766573
857.89374,250,1206.889593
838.46185,250,1211.014568
867.42523,250,1227.804466
881.48,250,1229.818515
885.12915,250,1237.768201
892.9073,250,1247.491349
890.2583,250,1286.027932
903.2987,242,1291.821712
557.2333,250,1297.909296
849.9997,250,1303.693463
912.49994,219,1323.640857
764.581,250,1326.603766
912.1998,220,1329.414337
891.9337,250,1338.527283
850.3551,250,1355.655552
907.49805,232,1356.127213
877.7772,250,1361.03423
889.9998,250,1368.954209
570.7676,250,1388.737064
828.78516,250,1389.308537
818.8196,250,1395.367141
878.33734,250,1404.790124
863.2352,250,1422.579144
635.9053,250,1423.09579
896.41296,250,1427.554994
915.80066,211,1430.708785
825.46454,250,1451.107863
501.22653,250,1451.628892
659.25885,250,1456.498969
613.3321,250,1459.991888
896.85315,250,1590.090431
881.8197,250,1590.527716
912.30115,220,1591.701089
912.90027,218,1594.613511
818.0873,250,1620.961469
690.99493,250,1621.486699
861.16473,250,1622.640162
707.338,250,1625.531457
910.3011,225,1646.907459
860.0009,250,1647.988198
860.131,250,1648.512579
868.3774,250,1652.505356
892.9313,250,1675.328238
875.97815,250,1676.695352
635.21246,250,1677.2143
833.79956,250,1682.461115
876.8978,250,1707.933211
757.5762,250,1709.129148
876.26984,250,1709.703225
900.7976,248,1714.268246
907.60016,231,1736.378166
864.05225,250,1739.819052
712.8821,250,1740.315532
679.99805,250,1744.715146
921.30035,197,1761.527202
886.48663,250,1764.141517
879.02026,250,1767.616184
878.8753,250,1771.364425
860.2863,250,1787.974918
892.8569,250,1790.907099
870.2593,250,1794.550002
909.29895,227,1796.011991
541.5075,250,1922.116539
896.7747,250,1924.443759
911.7001,221,1924.855341
822.80676,250,1928.891949
917.40137,207,1942.724536
919.1005,203,1949.97329
844.80365,250,1950.105935
861.0375,250,1950.548444
904.89984,238,1968.522809
915.79926,211,1973.510515
740.0011,250,1977.413465
889.32074,250,1977.54196
906.898,233,1994.906394
779.51874,250,2001.970399
822.55804,250,2005.882397
494.3782,250,2006.018536
917.59796,206,2019.195359
236.89381,153,2023.884395
834.52246,250,2030.414321
883.33246,250,2034.225363
875.6927,250,2046.600717
907.79956,231,2049.298289
869.4895,250,2058.705298
910.4993,224,2059.88829
686.62354,250,2076.40904
861.2679,250,2078.97963
620.6882,250,2087.448822
896.9604,250,2088.289507
873.41986,250,2103.098515
771.3228,250,2105.635226
853.57074,250,2114.545513
240.846,250,2115.450572
855.26917,250,2132.231238
890.47595,250,2134.978947
919.00037,203,2138.538116
646.2099,250,2245.771562
832.308,250,2261.532655
257.37808,250,2264.278638
683.28046,250,2268.050071
909.30084,227,2271.69864
915.60095,211,2284.95811
910.1981,225,2289.661008
426.81482,250,2296.66572
880.7677,250,2299.953533
